metadata,canton,value,value_metadata,
General,AG,611466,,
Population,AR,53017,,
People per Canton,AI,15688,,
http://en.wikipedia.org/wiki/Cantons_of_Switzerland#List,BS,184950,,
CC-BY-SA 3.0,BL,274404,,
http://creativecommons.org/licenses/by-sa/3.0/,BE,979802,,
2009,FR,278493,,
October 21st 2011,GE,457715,,
,GL,38608,,
absolute,GR,192621,,
,JU,70032,,
,LU,377610,,
,NE,172085,,
,NW,41024,,
,OW,35585,,
,SH,76356,,
,SZ,146730,,
,SO,255284,,
,SG,478907,,
,TG,248444,,
,TI,333753,,
,UR,35422,,
,VS,312684,,
,VD,713281,,
,ZG,113105,,
,ZH,1387068,,